City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kodiak,1,US,2019-06-24 16:25:31,35,39.95,-94.76,71.99600000000001,3.6
Punta Arenas,75,CL,2019-06-24 16:25:31,66,-53.16,-70.91,35.6,7.7
Cape Town,0,ZA,2019-06-24 16:25:31,72,-33.93,18.42,59.0,6.7
Dingle,100,PH,2019-06-24 16:25:31,90,11.0,122.67,76.00999999999999,1.22
Lundazi,43,ZM,2019-06-24 16:25:31,41,-12.29,33.17,72.41,2.82
Castro,40,CL,2019-06-24 16:25:31,86,-42.48,-73.76,39.2,5.7
Hithadhoo,73,MV,2019-06-24 16:25:31,71,-0.6,73.08,83.57,1.61
Bredasdorp,100,ZA,2019-06-24 16:25:31,67,-34.53,20.04,62.6,1.5
Ushuaia,40,AR,2019-06-24 16:25:31,69,-54.81,-68.31,35.6,2.1
Yerbogachen,60,RU,2019-06-24 16:25:31,54,61.28,108.01,56.75,1.28
Catabola,0,AO,2019-06-24 16:25:31,28,-12.14,17.29,86.0,2.71
Hami,9,CN,2019-06-24 16:25:31,26,42.84,93.51,76.19,4.11
Salalah,40,OM,2019-06-24 16:25:31,89,17.01,54.1,84.2,4.6
Vaini,100,IN,2019-06-24 16:25:31,86,15.34,74.49,79.25,1.11
Souillac,0,FR,2019-06-24 16:25:31,45,45.6,-0.6,87.80000000000001,4.1
Puerto Ayora,5,EC,2019-06-24 16:25:31,74,-0.74,-90.35,74.03,3.75
Hermanus,67,ZA,2019-06-24 16:25:31,89,-34.42,19.24,57.002,3.0
Acapulco,75,MX,2019-06-24 16:25:31,74,16.86,-99.88,84.2,1.5
Butaritari,100,KI,2019-06-24 16:25:31,80,3.07,172.79,81.41,2.51
Kumluca,0,TR,2019-06-24 16:25:31,37,36.37,30.29,78.71000000000001,1.32
Albany,40,US,2019-06-24 16:25:31,41,42.65,-73.75,80.99600000000001,3.1
Rorvik,20,NO,2019-06-24 16:25:31,71,64.86,11.24,57.2,3.6
Jamestown,100,AU,2019-06-24 16:25:31,49,-33.21,138.6,46.129999999999995,3.17
Port Macquarie,75,AU,2019-06-24 16:25:31,93,-31.43,152.91,53.006,3.1
Cherskiy,19,RU,2019-06-24 16:25:31,43,68.75,161.3,60.71,2.97
Balgazyn,100,RU,2019-06-24 16:25:31,83,51.0,95.2,49.19,10.3
Geraldton,90,CA,2019-06-24 16:25:31,63,49.72,-86.95,62.6,3.6
Viedma,63,AR,2019-06-24 16:25:31,46,-40.81,-62.99,54.59,6.61
Kyren,100,RU,2019-06-24 16:25:31,83,51.68,102.13,52.790000000000006,2.16
Surin,100,TH,2019-06-24 16:25:31,69,14.88,103.49,83.39,4.81
Bethel,40,US,2019-06-24 16:25:31,100,60.79,-161.76,53.6,2.1
Moyobamba,58,PE,2019-06-24 16:25:31,54,-6.03,-76.97,76.37,0.96
Qaanaaq,88,GL,2019-06-24 16:25:31,77,77.48,-69.36,32.81,3.61
Kijang,40,KR,2019-06-24 16:25:31,77,35.24,129.21,68.0,1.0
Narsaq,75,GL,2019-06-24 16:25:31,30,60.91,-46.05,68.0,5.7
Hilo,90,US,2019-06-24 16:25:31,83,19.71,-155.08,73.4,2.1
Katangi,45,IN,2019-06-24 16:25:31,54,21.77,79.8,85.37,0.75
Esperance,20,TT,2019-06-24 16:25:31,62,10.24,-61.45,87.99799999999999,7.7
Luanda,0,AO,2019-06-24 16:25:31,73,-8.83,13.24,77.0,5.1
Busselton,100,AU,2019-06-24 16:25:31,63,-33.64,115.35,57.002,7.7
Mataura,76,NZ,2019-06-24 16:25:31,96,-46.19,168.86,44.996,1.34
Mellieha,0,MT,2019-06-24 16:25:31,43,35.96,14.37,89.99600000000001,3.6
Kavaratti,89,IN,2019-06-24 16:25:31,79,10.57,72.64,83.57,7.75
Severo-Kurilsk,100,RU,2019-06-24 16:25:31,92,50.68,156.12,42.89,0.83
Pravda,20,BG,2019-06-24 16:25:31,73,43.16,25.69,82.994,3.1
Birjand,0,IR,2019-06-24 16:25:31,10,32.86,59.22,80.6,8.2
Harper,75,US,2019-06-24 16:25:31,66,30.3,-99.24,84.992,3.6
Saldanha,100,PT,2019-06-24 16:25:31,79,41.42,-6.55,61.06999999999999,2.52
Lebu,100,ET,2019-06-24 16:25:31,64,8.96,38.73,67.37,1.52
Kapaa,1,US,2019-06-24 16:25:31,94,22.08,-159.32,75.2,3.1
Yellowknife,40,CA,2019-06-24 16:25:31,64,62.45,-114.38,68.0,3.1
Mezotur,40,HU,2019-06-24 16:25:31,100,47.0,20.63,82.994,1.0
Vermilion,90,CA,2019-06-24 16:25:31,87,53.35,-110.85,55.400000000000006,5.1
Columbus,40,US,2019-06-24 16:25:31,70,32.46,-84.99,91.004,3.6
Galveston,90,US,2019-06-24 16:25:31,83,40.58,-86.19,73.994,7.7
Longyearbyen,75,NO,2019-06-24 16:25:31,70,78.22,15.63,46.4,3.1
Verkhnevilyuysk,36,RU,2019-06-24 16:25:31,92,63.45,120.31,58.01,1.29
Pisco,90,PE,2019-06-24 16:25:31,30,-13.71,-76.2,71.6,0.5
Tual,79,ID,2019-06-24 16:25:31,82,-5.67,132.75,79.61,9.92
Mar del Plata,87,AR,2019-06-24 16:25:31,52,-46.43,-67.52,41.27,9.74
Benbrook,90,US,2019-06-24 16:25:31,78,32.67,-97.46,78.008,2.1
Chuy,100,UY,2019-06-24 16:25:31,88,-33.69,-53.46,59.99,2.51
Lasa,20,CY,2019-06-24 16:25:31,83,34.92,32.53,89.006,7.2
Atuona,1,PF,2019-06-24 16:25:31,79,-9.8,-139.03,80.69,4.8
Rikitea,52,PF,2019-06-24 16:25:31,83,-23.12,-134.97,71.87,5.98
Hobart,0,AU,2019-06-24 16:25:31,93,-42.88,147.33,35.6,4.6
Bilma,0,NE,2019-06-24 16:25:31,8,18.69,12.92,108.59,1.72
Tiksi,0,RU,2019-06-24 16:25:31,63,71.64,128.87,50.45,2.49
Kenai,1,US,2019-06-24 16:25:31,82,60.55,-151.26,60.8,5.1
Orsk,75,RU,2019-06-24 16:25:31,28,51.23,58.47,93.2,4.0
Dukat,48,RS,2019-06-24 16:25:31,64,42.44,22.31,73.994,1.79
Ponta do Sol,0,BR,2019-06-24 16:25:31,50,-20.63,-46.0,73.31,1.27
Along,92,IN,2019-06-24 16:25:31,99,28.17,94.8,62.51,0.26
Mahebourg,75,MU,2019-06-24 16:25:31,94,-20.41,57.7,71.006,9.3
Bulolo,95,PG,2019-06-24 16:25:31,96,-7.2,146.64,67.00999999999999,0.57
Mayumba,27,GA,2019-06-24 16:25:31,80,-3.44,10.65,75.28999999999999,5.39
Bluff,0,AU,2019-06-24 16:25:31,52,-23.58,149.07,53.51,5.39
Linhares,53,BR,2019-06-24 16:25:31,64,-19.38,-40.06,79.97,1.26
Staryy Nadym,51,RU,2019-06-24 16:25:31,70,65.61,72.68,46.129999999999995,7.02
Thompson,75,CA,2019-06-24 16:25:31,60,55.74,-97.86,68.0,1.5
Sitka,0,US,2019-06-24 16:25:31,56,37.17,-99.65,71.99600000000001,3.58
Nalut,0,LY,2019-06-24 16:25:31,7,31.86,10.98,105.35000000000001,5.37
Praia,40,BR,2019-06-24 16:25:31,50,-20.25,-43.81,77.0,2.1
Katete,79,UG,2019-06-24 16:25:31,85,-0.78,29.75,70.61,0.91
Isangel,90,VU,2019-06-24 16:25:31,83,-19.55,169.27,69.80000000000001,5.1
Evensk,100,RU,2019-06-24 16:25:31,97,61.92,159.24,46.49,0.32
Goderich,100,CA,2019-06-24 16:25:31,67,43.74,-81.71,73.994,6.71
Alta Floresta,0,BR,2019-06-24 16:25:31,34,-9.87,-56.08,86.09,2.35
San Francisco,90,US,2019-06-24 16:25:31,100,37.78,-122.42,66.992,4.6
Tazovskiy,100,RU,2019-06-24 16:25:31,90,67.47,78.7,51.53,6.51
Saint-Philippe,1,CA,2019-06-24 16:25:31,27,45.36,-73.48,77.0,1.5
Cockburn Town,19,TC,2019-06-24 16:25:31,80,21.46,-71.14,79.97,6.02
Buala,24,SB,2019-06-24 16:25:31,82,-8.15,159.59,78.17,2.69
Gawler,0,AU,2019-06-24 16:25:31,51,-34.6,138.75,53.006,5.1
Beringovskiy,99,RU,2019-06-24 16:25:31,89,63.05,179.32,47.57,1.69
Elmira,40,US,2019-06-24 16:25:31,68,42.09,-76.81,77.0,2.7
Konya,20,TR,2019-06-24 16:25:31,23,37.87,32.48,84.2,5.7
Mesyagutovo,60,RU,2019-06-24 16:25:31,63,55.53,58.24,70.61,3.79
Codrington,75,AU,2019-06-24 16:25:31,93,-28.95,153.24,53.6,1.0
Ust-Omchug,100,RU,2019-06-24 16:25:31,93,61.13,149.63,40.730000000000004,1.29
Beloha,0,MG,2019-06-24 16:25:31,64,-25.17,45.06,71.15,2.59
Yong Peng,90,MY,2019-06-24 16:25:31,88,2.01,103.07,76.91,1.4
San Cristobal,91,EC,2019-06-24 16:25:31,78,-0.39,-78.55,55.004,0.89
Jacareacanga,0,BR,2019-06-24 16:25:31,40,-6.22,-57.76,88.61,2.33
Hasaki,20,JP,2019-06-24 16:25:31,93,35.73,140.83,62.995999999999995,0.5
Pringsewu,98,ID,2019-06-24 16:25:31,95,-5.36,104.98,69.71000000000001,0.78
Kununurra,0,AU,2019-06-24 16:25:31,25,-15.77,128.74,62.6,2.6
Arraial do Cabo,0,BR,2019-06-24 16:25:31,69,-22.97,-42.02,80.6,2.1
Port Elizabeth,1,US,2019-06-24 16:25:31,61,39.31,-74.98,86.0,2.1
Bambous Virieux,75,MU,2019-06-24 16:25:31,94,-20.34,57.76,71.006,9.3
Jatai,99,IN,2019-06-24 16:25:31,35,28.97,76.18,99.41000000000001,5.92
Baherden,0,TM,2019-06-24 16:25:31,12,38.44,57.43,86.63,6.34
Port Alfred,100,ZA,2019-06-24 16:25:31,89,-33.59,26.89,60.998000000000005,1.34
Georgetown,40,GY,2019-06-24 16:25:31,83,6.8,-58.16,82.4,4.1
Kruisfontein,100,ZA,2019-06-24 16:25:31,83,-34.0,24.73,54.59,7.61
Port Blair,100,IN,2019-06-24 16:25:31,80,11.67,92.75,80.87,2.87
Aldan,26,RU,2019-06-24 16:25:31,90,58.61,125.39,47.39,0.7
Tasiilaq,90,GL,2019-06-24 16:25:31,93,65.61,-37.64,42.8,2.6
Tuktoyaktuk,40,CA,2019-06-24 16:25:31,70,69.44,-133.03,48.2,2.6
Kemalpasa,0,TR,2019-06-24 16:25:31,22,38.43,27.42,96.998,3.1
Conde,56,BR,2019-06-24 16:25:31,87,-11.81,-37.61,76.73,3.48
Victoria,75,BN,2019-06-24 16:25:31,88,5.28,115.24,80.6,2.17
Airai,17,TL,2019-06-24 16:25:31,81,-8.93,125.41,66.47,3.04
Alice Springs,3,AU,2019-06-24 16:25:31,41,-23.7,133.88,41.0,3.74
Umm Lajj,0,SA,2019-06-24 16:25:31,74,25.02,37.27,85.55000000000001,5.44
Lake City,1,US,2019-06-24 16:25:31,46,38.03,-107.32,57.002,1.5
Daru,100,SL,2019-06-24 16:25:31,62,7.99,-10.85,85.91,1.66
Iskateley,100,RU,2019-06-24 16:25:31,82,67.68,53.15,42.17,6.56
Gubkinskiy,100,RU,2019-06-24 16:25:31,62,64.43,76.5,61.25,5.69
Carnarvon,81,ZA,2019-06-24 16:25:31,24,-30.97,22.13,56.39,3.51
Cayenne,100,GF,2019-06-24 16:25:31,70,4.94,-52.33,86.0,4.1
